domain	outcome	Dataset804_venous	Dataset805_arterial_venous	difference_805_minus_804	CI95_low	CI95_high	paired_test	p_value
HCC-positive	Mean Dice	0.22694317493273017	0.3704893250792604	0.14354615014653024	0.051977131613062465	0.23429494571822895	Wilcoxon signed-rank	0.0022296783666246045
HCC-positive	Median Dice	0.0249376558603491	0.4245472837022133	0.39960962784186416	0.13468190062627522	0.5315345487907138	Paired bootstrap	
HCC-positive	Any-overlap detection	0.5238095238095238	0.6825396825396826	0.15873015873015872	0.015873015873015817	0.3015873015873016	Exact McNemar; 804-only=7; 805-only=17	0.06391465663909912
HCC-positive	Aggregate voxel sensitivity	0.15795125195989929	0.35181260987314106	0.19386135791324177			Wilcoxon on per-case voxel sensitivity	0.004847015464085543
HCC-negative	Correct-empty specificity	0.30434782608695654	0.42028985507246375	0.1159420289855072	-0.02898550724637683	0.27536231884057966	Exact McNemar; 804-only=11; 805-only=19	0.20048842206597334
HCC-negative	Mean FP voxels per negative scan	640.2753623188406	209.81159420289856	-430.46376811594206	-749.1807971014492	-168.09782608695653	Wilcoxon signed-rank	0.03936806205601472
