phase	positive_complete_n	positive_incomplete_n	mean_dice	mean_dice_ci_low	mean_dice_ci_high	median_dice	median_dice_ci_low	median_dice_ci_high	detected_n	missed_n	detection_sensitivity	detection_ci_low	detection_ci_high	empty_positive_predictions	aggregate_voxel_sensitivity	negative_n	correct_empty_n	specificity	specificity_ci_low	specificity_ci_high	false_positive_scans_n	false_positive_scan_rate	false_positive_rate_ci_low	false_positive_rate_ci_high	fp_components_total	fp_components_median_per_fp_scan	fp_voxels_median_per_fp_scan	fp_voxels_mean_per_fp_scan	fp_volume_ml_median_per_fp_scan	fp_volume_ml_mean_per_fp_scan
arterial	63	0	0.33876434723851195	0.24966751419853278	0.42959956766164986	0.12612612612612611	0.0	0.5726178901312591	35	28	0.5555555555555556	0.43319638238682345	0.671529039881082	16	0.47532941376637616	69	46	0.6666666666666666	0.5492647542871832	0.7664894929831328	23	0.3333333333333333	0.2335105070168671	0.4507352457128168	57	2.0	4905.0	131205.4347826087	22.826904296875	227.3556775429819
portal_venous	57	6	0.12667565542355516	0.06032705998561231	0.20334105799558386	0.0	0.0	0.0	16	41	0.2807017543859649	0.18079399343823543	0.4083019867604394	36	0.371750473526391	69	56	0.8115942028985508	0.7038706411837159	0.8864525167564403	13	0.18840579710144928	0.11354748324355969	0.29612935881628416	24	1.0	1515.0	41886.769230769234	6.40916015625	184.80200042944682
delayed	58	5	0.1810402933378315	0.10397311438612658	0.2647642537921398	0.0	0.0	0.0	16	42	0.27586206896551724	0.17752352138912525	0.40204655189479327	38	0.3898545947727604	69	55	0.7971014492753623	0.6877595975522071	0.875106669320965	14	0.2028985507246377	0.12489333067903491	0.31224040244779294	32	2.0	6612.0	20044.928571428572	35.072608886718754	97.33623911544252
native	42	21	0.08142185564017648	0.025415186681790696	0.15179352071457208	0.0	0.0	0.0	10	32	0.23809523809523808	0.13480964224647127	0.38527543868318304	19	0.07887921086597885	69	35	0.5072463768115942	0.39205267562636525	0.6216757699071268	34	0.4927536231884058	0.3783242300928733	0.6079473243736349	59	1.0	3750.5	28394.970588235294	17.864478515625	135.6374245794801
