phase_A	phase_B	paired_n	mean_A	mean_B	mean_difference_A_minus_B	bootstrap_CI_low	bootstrap_CI_high	wilcoxon_W	wilcoxon_p	holm_p
arterial	portal_venous	38	0.31779806491421864	0.1316381375161359	0.18615992739808274	0.07066688845749906	0.30742514421632194	40.0	0.008685211199123489	0.03815207369622804
arterial	delayed	38	0.31779806491421864	0.2304039749257736	0.08739408998844507	-0.052685350187628655	0.23078731590654822	95.0	0.30646485459506156	0.6129297091901231
arterial	native	38	0.31779806491421864	0.07905381641499647	0.23874424849922218	0.12004329851942834	0.3623716703589029	28.0	0.002355634033724315	0.01413380420234589
portal_venous	delayed	38	0.1316381375161359	0.2304039749257736	-0.0987658374096377	-0.1750690167692096	-0.033822912174423646	10.0	0.007630414739245609	0.03815207369622804
portal_venous	native	38	0.1316381375161359	0.07905381641499647	0.05258432110113944	-0.0325834464279079	0.14646999999543867	59.0	0.40743445607773554	0.6129297091901231
delayed	native	38	0.2304039749257736	0.07905381641499647	0.15135015851077713	0.05770513612879849	0.25482644592219805	24.0	0.012946026127481566	0.0388380783824447
